,Country,City,Location,Cost,History_and_Culture,Open_Water,Has_Mountain
0,Afghanistan,Kabul,"34.5167, 69.1833",6.4576861526875655,11.920292202211757,0,100
1,Albania,Tirana,"41.3275, 19.8189",18.111644544855512,26.894142136999513,0,100
2,Algeria,Algiers,"36.7631, 3.0506",10.62788289560388,50.0,100,100
3,Argentina,Buenos Aires,"-34.6025, -58.3975",11.268003388873199,26.894142136999513,100,0
4,Armenia,Gyumri,"40.7894, 43.8475",13.047161818695285,88.07970779778825,0,100
5,Armenia,Yerevan,"40.1812, 44.5136",13.282500235338418,88.07970779778825,0,100
6,Australia,Brisbane,"-27.455, 153.0351",52.64991057140168,11.920292202211757,100,0
7,Australia,Melbourne,"-37.82, 144.975",50.748376164925176,26.894142136999513,100,0
8,Australia,Perth,"-31.955, 115.84",53.224136308010934,11.920292202211757,100,0
9,Australia,Sydney,"-33.92, 151.1852",59.192318554080785,50.0,100,0
10,Austria,Graz,"47.0778, 15.41",51.887414101477916,73.1058578630005,0,100
11,Austria,Innsbruck,"47.2804, 11.41",48.88449590511155,50.0,0,100
12,Austria,Klagenfurt,"46.6203, 14.31",48.88449590511155,88.07970779778825,100,100
13,Austria,Salzburg,"47.8105, 13.04",48.88449590511155,50.0,0,100
14,Austria,Vienna,"48.2, 16.3666",45.16614892215005,99.75273768433655,0,0
15,Azerbaijan,Baku,"40.3953, 49.8622",11.663371928833664,50.0,100,0
16,Bahamas,Nassau,"25.0834, -77.35",65.63117763343689,11.920292202211757,100,0
17,Bahrain,Manama,"26.2361, 50.5831",37.26819165960652,95.25741268224334,100,0
18,Bangladesh,Chittagong,"22.33, 91.8",10.044243622328908,11.920292202211757,100,0
19,Bangladesh,Dhaka,"23.7231, 90.4086",15.108726348489125,11.920292202211757,0,0
20,Barbados,Bridgetown,"13.102, -59.6165",56.54711475101196,26.894142136999513,100,0
21,Belarus,Minsk,"53.9, 27.5666",14.12030499858797,50.0,0,0
22,Belgium,Brussels,"50.8333, 4.3333",50.6824814082651,99.99546021312977,0,0
23,Belgium,Charleroi,"50.4204, 4.45",50.58834604160785,99.99546021312977,0,0
24,Bermuda,Hamilton,"32.2942, -64.7839",42.52094511908125,26.894142136999513,100,0
25,Brazil,Rio de Janeiro,"-22.925, -43.225",12.868304622046507,50.0,100,0
26,Brazil,São Paulo,"-23.5587, -46.625",10.486679845617996,11.920292202211757,0,100
27,Bulgaria,Burgas,"42.5146, 27.4746",17.264426244940225,73.1058578630005,100,0
28,Bulgaria,Plovdiv,"42.153999999999996, 24.754",17.433869904923274,26.894142136999513,0,100
29,Bulgaria,Sofia,"42.6833, 23.3167",20.803916031252946,50.0,0,100
30,Bulgaria,Varna,"43.2156, 27.8953",16.5489974583451,73.1058578630005,100,0
