Country,City,Airport,Notes,Refs
Albania,Tirana,Tirana International Airport Nënë Tereza,Passenger,
Algeria,Algiers,Houari Boumediene Airport,Passenger,
Algeria,Hassi Messaoud,Oued Irara–Krim Belkacem Airport,Terminated,[1][2]
Angola,Luanda,Quatro de Fevereiro Airport,Terminated,[3]
Antigua and Barbuda,St. John's,V. C. Bird International Airport,Passenger,
Argentina,Buenos Aires,Ministro Pistarini International Airport,Passenger,
Armenia,Yerevan,Zvartnots International Airport,Terminated,[4]:60
Australia,Adelaide,Adelaide Airport,Terminated,[4]:60
Australia,Brisbane,Brisbane Airport,Terminated,[5]
Australia,Melbourne,Melbourne Airport,Terminated,[5]
Australia,Perth,Perth Airport,Terminated,[5]
Australia,Sydney,Sydney Airport,Passenger,
Austria,Innsbruck,Innsbruck Airport,Seasonal,
Austria,Linz,Linz Airport,Terminated,[4]:60
Austria,Salzburg,Salzburg Airport,Passenger,
Austria,Vienna,Vienna International Airport,Passenger,
Azerbaijan,Baku,Heydar Aliyev International Airport,Terminated,[6][7]
Bahamas,Nassau,Lynden Pindling International Airport,Passenger,
Bahrain,Manama,Bahrain International Airport,Passenger + Cargo,[8]
Bangladesh,Dhaka,Shahjalal International Airport,Terminated,[8]
Barbados,Bridgetown,Grantley Adams International Airport,Passenger,
Belarus,Minsk,Minsk National Airport,Terminated,[4]:60
Belgium,Antwerp,Antwerp International Airport,Terminated,[5]
Belgium,Brussels,Brussels Airport,Passenger,
Belgium,Ostend,Ostend–Bruges International Airport,Terminated,[4]:60
Bermuda,Hamilton,L.F. Wade International Airport,Passenger,
Botswana,Gaborone,Sir Seretse Khama International Airport,Terminated,[5]
Brazil,Rio de Janeiro,Rio de Janeiro–Galeão International Airport,Passenger,
Brazil,São Paulo,São Paulo–Guarulhos International Airport,Passenger,
Bulgaria,Sofia,Sofia Airport,Passenger,
Canada,Calgary,Calgary International Airport,Passenger,[9][10]
Canada,Kelowna,Kelowna International Airport,Terminated,[4]:60
Canada,Montreal,Montréal–Pierre Elliott Trudeau International Airport,Passenger,
Canada,Toronto,Toronto Pearson International Airport,Passenger,
Canada,Vancouver,Vancouver International Airport,Passenger,
Cayman Islands,George Town,Owen Roberts International Airport,Passenger,
Chile,Santiago,Comodoro Arturo Merino Benítez International Airport,Passenger,[5][11]
China (Mainland),Beijing,Beijing Capital International Airport,Terminated,[12]
China (Mainland),Beijing,Beijing Daxing International Airport (Suspended)[13],Passenger,[12]
China (Mainland),Chengdu,Chengdu Shuangliu International Airport,Terminated,[14]
China (Mainland),Shanghai,Shanghai Pudong International Airport (Suspended)[15],Passenger,
Colombia,Bogotá,El Dorado International Airport,Terminated,[4]:60
Costa Rica,San José,Juan Santamaría International Airport,Passenger,[4]:60[16]
Croatia,Dubrovnik,Dubrovnik Airport,Passenger,
Croatia,Pula,Pula Airport,Seasonal,[17]
Croatia,Zagreb,Zagreb Airport,Passenger,[18]
Cuba,Havana,José Martí International Airport,Terminated,[19]
Cyprus,Larnaca,Larnaca International Airport,Passenger,
Cyprus,Paphos,Paphos International Airport,Seasonal,
Czech Republic,Prague,Václav Havel Airport Prague,Passenger,
Denmark,Aarhus,Aarhus Airport,Terminated,[5]
Denmark,Billund,Billund Airport,Passenger,[20]
Denmark,Copenhagen,Copenhagen Airport,Passenger,
Denmark,Thisted,Thisted Airport,Terminated,[4]:60
Dominican Republic,Punta Cana,Punta Cana International Airport,Passenger,
Egypt,Alexandria,El Nouzha Airport,Terminated,[5]
Egypt,Cairo,Cairo International Airport,Passenger,
Egypt,Luxor,Luxor International Airport,Terminated,[21]
Egypt,Sharm El Sheikh,Sharm El Sheikh International Airport,Terminated,[22]
Estonia,Tallinn,Tallinn Airport,Terminated,[23]
Eswatini,Manzini,Matsapha Airport,Terminated,[5]
Ethiopia,Addis Ababa,Addis Ababa Bole International Airport,Terminated,[19]
Finland,Helsinki,Helsinki Airport,Terminated,[10]
Finland,Tampere,Tampere–Pirkkala Airport,Terminated,[4]:60
Finland,Turku,Turku Airport,Terminated,[4]:60
Finland,Vaasa,Vaasa Airport,Terminated,[4]:60
France,Annecy,Annecy – Haute-Savoie – Mont Blanc Airport,Terminated,[4]:60
France,Biarritz,Biarritz Pays Basque Airport,Terminated,[24]
France,Bordeaux,Bordeaux–Mérignac Airport,Passenger,
France,Chambéry,Chambéry Airport,Seasonal,
France,Figari,Figari–Sud Corse Airport,Seasonal,[25]
France,Grenoble,Alpes–Isère Airport,Seasonal,[26]
France,Limoges,Limoges – Bellegarde Airport,Passenger,[27]
France,Lyon,Lyon–Saint-Exupéry Airport,Passenger,
France,Marseille,Marseille Provence Airport,Passenger,
France,Montpellier,Montpellier–Méditerranée Airport,Seasonal,[17]
France,Nantes,Nantes Atlantique Airport,Passenger,[17]
France,Nice,Nice Côte d'Azur Airport,Passenger,
France,Paris,Charles de Gaulle Airport,Passenger,[28]
France,Paris,Orly Airport,Terminated,[28]
France,Toulouse,Toulouse–Blagnac Airport,Passenger,
Georgia,Tbilisi,Tbilisi International Airport,Terminated,[29][30]
Germany,Berlin,Berlin Tegel Airport,Passenger,
Germany,Bremen,Bremen Airport,Terminated,[5]
Germany,Cologne,Cologne Bonn Airport,Passenger,[31]
Germany,Dresden,Dresden Airport,Terminated,[4]:60
Germany,Düsseldorf,Düsseldorf Airport,Passenger,
Germany,Frankfurt,Frankfurt Airport,Passenger + Cargo,[8]
Germany,Friedrichshafen,Friedrichshafen Airport,Seasonal,[4]:60[26]
Germany,Hamburg,Hamburg Airport,Passenger,
Germany,Hanover,Hannover Airport,Passenger,[32][33]
Germany,Leipzig,Leipzig/Halle Airport,Terminated,[5]
Germany,Munich,Munich Airport,Passenger,
Germany,Münster,Münster Osnabrück International Airport,Terminated,[4]:60
Germany,Nuremberg,Nuremberg Airport,Terminated,[4]:60
Germany,Saarbrücken,Saarbrücken Airport,Terminated,[4]:60
Germany,Stuttgart,Stuttgart Airport,Passenger,
Ghana,Accra,Kotoka International Airport,Passenger,
Gibraltar,Gibraltar,Gibraltar International Airport,Passenger,
Greece,Athens,Athens International Airport,Passenger,
Greece,Chania,Chania International Airport,Seasonal,[34]
Greece,Kalamata,Kalamata International Airport,Seasonal,[34]
Greece,Kefalonia,Kefalonia International Airport,Seasonal,[35]
Greece,Mykonos,Mykonos Airport,Seasonal,[36]
Greece,Santorini,Santorini (Thira) International Airport,Seasonal,[36]
Greece,Thessaloniki,Thessaloniki Airport,Seasonal,
Greece,Zakynthos,Zakynthos International Airport,Seasonal,[17]
Grenada,St. George,Maurice Bishop International Airport,Passenger,
Guernsey,Saint Peter Port,Guernsey Airport,Terminated,[5]
Hong Kong SAR,Hong Kong,Hong Kong International Airport,Passenger + Cargo,[8]
