Country,Total,Recordedconsumption,Unrecordedconsumption,Beer(%),Wine(%),Spirits(%),Other(%),2015projection
Belarus,17.6,14.4,3.2,17.3,5.2,46.6,30.9,17.1
Moldova,16.8,6.3,10.5,30.4,5.1,64.5,0.0,17.4
Lithuania,15.5,12.9,2.5,46.5,7.8,34.1,11.6,16.2
Russia,15.1,11.5,3.6,37.6,11.4,51.0,0.0,14.5
Romania,14.4,10.4,4.0,50.0,28.9,21.1,0.0,12.9
Ukraine,13.9,8.9,5.0,40.5,9.0,48.0,2.6,11.8
Andorra,13.8,12.4,1.4,34.6,45.3,20.1,0.0,9.1
Hungary,13.3,11.3,2.0,36.3,29.4,34.3,0.0,12.4
Czech Republic,13.0,11.8,1.2,53.5,20.5,26.0,0.0,14.1
Slovakia,13.0,11.4,1.7,30.1,18.3,46.2,5.5,12.5
Portugal,12.9,11.0,1.9,30.8,55.5,10.9,2.8,12.5
Serbia,12.6,9.6,2.9,51.5,23.9,24.6,0.0,12.9
Grenada,12.5,11.9,0.7,29.3,4.3,66.2,0.2,10.4
Poland,12.5,10.9,1.6,55.1,9.3,35.5,0.0,11.5
Latvia,12.3,10.5,1.8,46.9,10.7,37.0,5.4,10.6
Finland,12.3,10.0,2.3,46.0,17.5,24.0,12.6,11.9
South Korea,12.3,9.8,2.5,25.0,1.6,2.9,70.5,10.9
France,12.2,11.8,0.4,18.8,56.4,23.1,1.7,11.6
Australia,12.2,10.4,1.8,44.0,36.7,12.5,6.8,12.6
Croatia,12.2,10.2,2.0,39.5,44.8,15.4,0.2,11.7
Ireland,11.9,11.4,0.5,48.1,26.1,18.7,7.7,10.9
Luxembourg,11.9,11.4,0.5,36.2,42.8,21.0,0.0,11.2
Germany,11.8,11.3,0.5,53.6,27.8,18.6,0.0,10.6
Slovenia,11.6,10.6,1.0,44.5,46.9,8.6,0.0,10.9
United Kingdom,11.6,10.4,1.2,36.9,33.8,21.8,7.5,12.0
Denmark,11.4,10.4,1.0,37.7,48.2,14.1,0.0,10.2
Bulgaria,11.4,10.3,1.1,39.3,16.5,44.1,0.1,11.3
Spain,11.2,10.0,1.2,49.7,20.1,28.2,1.8,10.6
Belgium,11.0,10.5,0.5,49.2,36.3,14.4,0.1,10.8
South Africa,11.0,8.2,2.9,48.1,17.8,16.7,17.4,11.5
New Zealand,10.9,9.3,1.6,38.2,33.9,15.2,12.5,11.2
Gabon,10.9,8.9,2.0,68.3,11.9,19.8,0.1,11.8
Namibia,10.8,6.8,4.0,96.7,0.3,0.9,2.1,11.8
Switzerland,10.7,10.2,0.5,31.8,49.4,17.6,1.2,10.4
Saint Lucia,10.4,10.1,0.2,29.7,12.6,56.1,1.5,10.4
Austria,10.3,9.7,0.6,50.4,35.5,14.0,0.0,8.5
Estonia,10.3,9.5,0.8,41.2,11.1,36.8,10.9,9.4
Greece,10.3,8.3,2.0,28.1,47.3,24.2,0.4,9.3
Kazakhstan,10.3,6.8,3.5,31.8,3.1,65.1,0.0,8.2
Canada,10.2,8.2,2.0,51.2,22.0,26.8,0.0,10.3
Nigeria,10.1,9.1,1.0,8.0,0.4,0.9,90.7,11.3
Netherlands,9.9,9.4,0.5,46.8,36.4,16.9,0.0,9.6
Uganda,9.8,8.3,1.5,9.4,0.1,1.9,88.6,10.5
Rwanda,9.8,6.8,3.0,11.1,0.0,0.4,88.4,10.0
Chile,9.6,7.6,2.0,29.9,40.7,29.4,0.0,9.3
Sierra Leone,9.3,8.3,1.0,40.7,48.0,5.5,5.8,7.6
Burundi,9.3,6.3,3.0,24.5,0.0,0.1,75.4,9.8
United States,9.2,8.7,0.5,50.0,17.3,32.7,0.0,9.0
Cyprus,9.2,8.2,1.0,40.9,24.7,33.7,0.7,9.1
Sweden,9.2,7.2,2.0,37.0,46.6,15.1,1.4,8.7
