Country,City,Airport,Notes,Refs
Afghanistan,Kabul,Hamid Karzai International Airport,,[2]
Algeria,Algiers,Houari Boumediene Airport,Suspended,[6]
Angola,Luanda,Quatro de Fevereiro Airport,Suspended,[2]
Argentina,Buenos Aires,Ministro Pistarini International Airport,Terminated,[7][8][9]
Australia,Adelaide,Adelaide Airport,Terminated,[2][9]
Australia,Brisbane,Brisbane Airport,,[2]
Australia,Melbourne,Melbourne Airport,Suspended,[2]
Australia,Perth,Perth Airport,,[2]
Australia,Sydney,Sydney Airport,,[2]
Austria,Vienna,Vienna International Airport,,[2]
Azerbaijan,Baku,Heydar Aliyev International Airport,Terminated,[3]
Bahrain,Manama,Bahrain International Airport,,[2]
Bangladesh,Dhaka,Shahjalal International Airport,,[2]
Belgium,Brussels,Brussels Airport,,[10]
Brazil,Rio de Janeiro,Rio de Janeiro–Galeão International Airport,Terminated,[7][9]
Brazil,São Paulo,São Paulo–Guarulhos International Airport,,[2]
Cambodia,Phnom Penh,Phnom Penh International Airport,Suspended,[11]
Canada,Toronto,Toronto Pearson International Airport,,[2]
Chile,Santiago,Arturo Merino Benítez International Airport,Terminated,[2][9]
China,Beijing,Beijing Capital International Airport,Suspended,[2]
China,Guangzhou,Guangzhou Baiyun International Airport,,[2] [12]
China,Shanghai,Shanghai Pudong International Airport,Suspended,[2] [12]
China,Yinchuan,Yinchuan Hedong International Airport,Terminated,[13]
China,Zhengzhou,Zhengzhou Xinzheng International Airport,Terminated,[13]
Comoros,Moroni,Prince Said Ibrahim International Airport,Terminated,[3][14]
Croatia,Zagreb,Zagreb Airport,Suspended,[2]
Cyprus,Larnaca,Larnaca International Airport,,[2]
Czech Republic,Prague,Václav Havel Airport Prague,,[2]
Denmark,Copenhagen,Copenhagen Airport,,[15]
Egypt,Alexandria,Borg El Arab Airport,Terminated,[16]
Egypt,Cairo,Cairo International Airport,,[2]
Ethiopia,Addis Ababa,Addis Ababa Bole International Airport,,[2]
France,Lyon,Lyon–Saint Exupéry Airport,Suspended,[17]
France,Nice,Nice Côte d'Azur Airport,Suspended,[2]
France,Paris,Charles de Gaulle Airport,,[2]
Germany,Düsseldorf,Düsseldorf Airport,Suspended,[2]
Germany,Frankfurt,Frankfurt Airport,,[2]
Germany,Hamburg,Hamburg Airport,Suspended,[2]
Germany,Munich,Munich Airport,,[2]
Ghana,Accra,Kotoka International Airport,Suspended,[2]
Greece,Athens,Athens International Airport,,[2]
Guinea,Conakry,Conakry International Airport,Suspended,[18]
Hungary,Budapest,Budapest Ferenc Liszt International Airport,Suspended,[19]
Hong Kong,Hong Kong,Hong Kong International Airport,,[2]
India,Ahmedabad,Sardar Vallabhbhai Patel International Airport,Suspended,[2]
India,Bengaluru,Kempegowda International Airport,Suspended,[2]
India,Chennai,Chennai International Airport,Suspended,[2]
India,Delhi,Indira Gandhi International Airport,,[2]
India,Hyderabad,Rajiv Gandhi International Airport,Suspended,[2]
India,Kochi,Cochin International Airport,,[2]
India,Kolkata,Netaji Subhas Chandra Bose International Airport,Suspended,[2]
India,Kozhikode,Calicut International Airport,Terminated,[20]
India,Mumbai,Chhatrapati Shivaji International Airport,,[2]
India,Thiruvananthapuram,Trivandrum International Airport,,[2]
Indonesia,Denpasar,Ngurah Rai International Airport,Suspended,[2]
Indonesia,Jakarta,Soekarno–Hatta International Airport,,[2]
Iran,Bandar Abbas,Bandar Abbas International Airport,Terminated,[4]
