Country,City,Airport,Notes,Refs
Afghanistan,Kabul,Hamid Karzai International Airport,Terminated,[5]
Afghanistan,Bagram,Bagram Airfield,Terminated,[6][3]
Armenia,Yerevan,Zvartnots International Airport,Terminated,[7][8]
Australia,Brisbane,Brisbane Airport,Passenger,[2]
Australia,Melbourne,Melbourne Airport,Passenger,[2]
Australia,Perth,Perth Airport,Terminated,[9]
Australia,Sydney,Sydney Airport,Passenger,[2]
Austria,Vienna,Vienna International Airport,Passenger + Cargo,[3]
Azerbaijan,Baku,Heydar Aliyev International Airport,Passenger,[2]
Bahrain,Manama,Bahrain International Airport,Passenger,[2]
Bangladesh,Chittagong,Shah Amanat International Airport,Cargo,[2][10]
Bangladesh,Dhaka,Shahjalal International Airport,Cargo,[2][11][10]
Barbados,Bridgetown,Grantley Adams International Airport,Terminated,
Belarus,Minsk,Minsk National Airport,Passenger,[12][13]
Belgium,Brussels,Brussels Airport,Passenger,[2]
Belgium,Liège,Liège Airport,Terminated,[3]
Brazil,Campinas,Viracopos–Campinas International Airport,Terminated,[3]
Brazil,São Paulo,São Paulo–Guarulhos International Airport,Terminated,[2][14]
Bulgaria,Sofia,Sofia Airport,Terminated,[3]
Cambodia,Phnom Penh,Phnom Penh International Airport,Terminated,[3]
Cameroon,Douala,Douala International Airport,Terminated,[15]
Canada,Toronto,Toronto Pearson International Airport,Passenger,[2]
Chad,N'Djamena,N'Djamena International Airport,Terminated,[16]
China,Beijing,Beijing Capital International Airport,Cargo,
China,Beijing,Beijing Daxing International Airport,Passenger,[17]
China,Chengdu,Chengdu Shuangliu International Airport,Terminated,[2] [18]
China,Chongqing,Chongqing Jiangbei International Airport,Terminated,[3]
China,Guangzhou,Guangzhou Baiyun International Airport,Terminated,[3]
China,Hong Kong,Hong Kong International Airport,Passenger + Cargo,[2][3][10][19]
China,Shanghai,Shanghai Pudong International Airport,Passenger + Cargo,[2][10][18]
China,Shenzhen,Shenzhen Bao'an International Airport,Terminated,[20]
China,Tianjin,Tianjin Binhai International Airport,Terminated,[21]
China,Zhengzhou,Zhengzhou Xinzheng International Airport,Terminated,[22]
Colombia,Bogotá,El Dorado International Airport,Terminated,[2]
Cyprus,Larnaca,Larnaca International Airport,Terminated,[23]
Denmark,Copenhagen,Copenhagen Airport Cargo,Terminated,[24]
Djibouti,Djibouti City,Djibouti–Ambouli International Airport,Terminated,[25]
Ecuador,Quito,Mariscal Sucre International Airport,Terminated,[4]
Egypt,Alexandria,Borg El Arab Airport,Seasonal,[26]
Egypt,Cairo,Cairo International Airport,Passenger,[2]
Ethiopia,Addis Ababa,Addis Ababa Bole International Airport,Terminated,[3]
France,Paris,Charles de Gaulle Airport,Passenger + Cargo,[2][3]
Georgia,Tbilisi,Tbilisi International Airport,Terminated,[3]
Germany,Düsseldorf,Düsseldorf Airport,Passenger,[2]
Germany,Frankfurt,Frankfurt Airport,Passenger + Cargo,[2][3][10]
Germany,Hahn,Frankfurt–Hahn Airport,Terminated,[3][27]
Germany,Munich,Munich Airport,Passenger,[2]
Greece,Athens,Athens International Airport,Passenger,[2]
India,Ahmedabad,Sardar Vallabhbhai Patel International Airport,Passenger,[2]
India,Bengaluru,Kempegowda International Airport,Passenger + Cargo,[2][10]
India,Chennai,Chennai International Airport,Passenger + Cargo,[2][10]
India,Delhi,Indira Gandhi International Airport,Passenger + Cargo,[2][10]
India,Hyderabad,Rajiv Gandhi International Airport,Passenger,[2]
India,Jaipur,Jaipur International Airport,Terminated,[28]
India,Kochi,Cochin International Airport,Passenger,[2]
India,Kolkata,Netaji Subhas Chandra Bose International Airport,Passenger,[2]
India,Kozhikode,Calicut International Airport,Passenger,[2]
India,Mumbai,Chhatrapati Shivaji Maharaj International Airport,Passenger + Cargo,[2][10]
India,Thiruvananthapuram,Trivandrum International Airport,Passenger,[2]
Indonesia,Jakarta,Soekarno–Hatta International Airport,Passenger,[2]
Iran,Tehran,Tehran Imam Khomeini International Airport,Terminated,[2][29]
Iraq,Baghdad,Baghdad International Airport,Terminated,[2]
Iraq,Basra,Basra International Airport,Terminated,[2]
Iraq,Erbil,Erbil International Airport,Terminated,[30]
Ireland,Dublin,Dublin Airport,Passenger,[2]
Italy,Milan,Milan Malpensa Airport,Passenger + Cargo,[2][3]
Italy,Rome,Leonardo da Vinci–Fiumicino Airport,Passenger,[31]
Italy,Venice,Venice Marco Polo Airport,Terminated,[32]
Japan,Nagoya,Chubu Centrair International Airport,Passenger,[2]
Japan,Tokyo,Narita International Airport,Passenger,[2]
Jordan,Amman,Queen Alia International Airport,Passenger,[2]
Kazakhstan,Almaty,Almaty International Airport,Terminated,[23][3]
Kazakhstan,Nur-Sultan,Nursultan Nazarbayev International Airport,Passenger,[2]
Kenya,Eldoret,Eldoret International Airport,Terminated,[3]
Kenya,Nairobi,Jomo Kenyatta International Airport,Passenger + Cargo,[2][3]
Kuwait,Kuwait City,Kuwait International Airport,Passenger,[2]
Lebanon,Beirut,Beirut–Rafic Hariri International Airport,Passenger,[2]
Libya,Benghazi,Benina International Airport,Terminated,[3]
Libya,Tripoli,Tripoli International Airport,Terminated,[33]
Luxembourg,Luxembourg City,Luxembourg Findel Airport,Terminated,[3]
Malaysia,Kuala Lumpur,Kuala Lumpur International Airport,Passenger,[2]
Maldives,Malé,Velana International Airport,Passenger,[2]
Mauritania,Nouakchott,Nouakchott International Airport,Terminated,[3]
Morocco,Casablanca,Mohammed V International Airport,Passenger,[2]
Morocco,Rabat,Rabat–Salé Airport,Passenger,[34]
Myanmar,Yangon,Yangon International Airport,Terminated,[3]
Nepal,Kathmandu,Tribhuvan International Airport,Passenger,[2]
Netherlands,Amsterdam,Amsterdam Airport Schiphol,Passenger + Cargo,[2][10]
Nigeria,Lagos,Murtala Muhammed International Airport,Passenger,[2]
Oman,Muscat,Muscat International Airport,Passenger,[2]
Oman,Salalah,Salalah International Airport,Seasonal,[26]
Pakistan,Islamabad,Benazir Bhutto International Airport,Terminated,[2]
Pakistan,Islamabad,Islamabad International Airport,Passenger,[2]
Pakistan,Karachi,Jinnah International Airport,Passenger,[2]
Pakistan,Lahore,Allama Iqbal International Airport,Passenger,[2]
Pakistan,Peshawar,Bacha Khan International Airport,Terminated,[2][35]
Pakistan,Sialkot,Sialkot International Airport,Terminated,[36]
Peru,Lima,Jorge Chávez International Airport,Terminated,[37]
Philippines,Manila,Ninoy Aquino International Airport,Passenger,[2]
Puerto Rico,Aguadilla,Rafael Hernández Airport,Terminated,[2]
Puerto Rico,San Juan,Luis Muñoz Marín International Airport,Terminated,[2]
Qatar,Doha,Hamad International Airport,Terminated,[2]
Republic of Congo,Brazzaville,Maya-Maya Airport,Terminated,[38]
Russia,Moscow,Domodedovo International Airport,Passenger,[2]
Russia,Moscow,Sheremetyevo International Airport,Terminated,[2]
Saudi Arabia,Dammam,King Fahd International Airport,Passenger + Cargo,[3][10]
Saudi Arabia,Jeddah,King Abdulaziz International Airport,Passenger,[2]
Saudi Arabia,Medina,Prince Mohammad bin Abdulaziz International Airport,Passenger,[39]
Saudi Arabia,Riyadh,King Khalid International Airport,Passenger,[2]
Senegal,Dakar,Léopold Sédar Senghor International Airport,Terminated,[3]
Serbia,Belgrade,Belgrade Nikola Tesla Airport,Passenger,[2]
Seychelles,Mahé,Seychelles International Airport,Passenger,[2]
Singapore,Singapore,Singapore Changi Airport,Passenger + Cargo,[2][3]
South Africa,Cape Town,Cape Town International Airport,Terminated,[40]
South Africa,Johannesburg,O. R. Tambo International Airport,Passenger + Cargo,[2][41]
South Korea,Seoul,Incheon International Airport,Passenger,[2]
Spain,Barcelona,Barcelona–El Prat Airport,Passenger + Cargo,[42][43]
Spain,Madrid,Adolfo Suárez Madrid–Barajas Airport,Passenger,[2]
Spain,Málaga,Málaga–Costa del Sol Airport,Passenger,[44]
Spain,Zaragoza,Zaragoza Airport,Terminated,[2]
Sri Lanka,Colombo,Bandaranaike International Airport,Passenger,[2]
Sudan,Khartoum,Khartoum International Airport,Passenger,[2]
Switzerland,Geneva,Geneva International Airport,Passenger,[2]
Switzerland,Zürich,Zürich International Airport,Passenger,[45]
Syria,Damascus,Damascus International Airport,Terminated,[46]
Tanzania,Dar es Salaam,Julius Nyerere International Airport,Terminated,[47][48]
Thailand,Bangkok,Suvarnabhumi International Airport,Passenger,[2]
Thailand,Phuket,Phuket International Airport,Passenger,[49]
Turkey,Istanbul,Istanbul Arnavutköy International Airport,Passenger,[2]
Turkey,Istanbul,Istanbul Atatürk International Airport,Terminated,
Turkey,Istanbul,Istanbul Sabiha Gökçen International Airport,Terminated,[50]
Uganda,Entebbe,Entebbe International Airport,Terminated,[2][51][2][29]
United Arab Emirates,Abu Dhabi,Abu Dhabi International Airport,Hub,[2]
United Arab Emirates,Dubai,Al Maktoum International Airport,Terminated,[3]
United Arab Emirates,Sharjah,Sharjah International Airport,Terminated,[3]
United Kingdom,East Midlands,East Midlands Airport,Cargo,[3][10]
United Kingdom,Edinburgh,Edinburgh Airport,Terminated,[2]
United Kingdom,London,Gatwick Airport,Terminated,[52]
United Kingdom,London,Heathrow Airport,Passenger + Cargo,[53]
United Kingdom,London,Stansted Airport,Terminated,[24]
United Kingdom,Manchester,Manchester Airport,Passenger,[2]
United States,Anchorage,Ted Stevens Anchorage International Airport,Terminated,[3]
United States,Chicago,O'Hare International Airport,Passenger + Cargo,[2][3]
United States,Columbus,Rickenbacker International Airport,Cargo,[3][10][41]
United States,Dallas,Dallas/Fort Worth International Airport,Terminated,[54]
United States,Houston,George Bush Intercontinental Airport,Terminated,[37]
United States,Huntsville,Huntsville International Airport,Terminated,[3]
United States,Los Angeles,Los Angeles International Airport,Passenger,[55]
United States,Miami,Miami International Airport,Cargo,[56][10]
United States,New York City,John F. Kennedy International Airport,Passenger,[2]
United States,San Francisco,San Francisco International Airport,Terminated,[57]
United States,Tucson,Tucson International Airport,Terminated,[56]
United States,"Washington, D.C.",Washington Dulles International Airport,Passenger,[2]
Vietnam,Hanoi,Noi Bai International Airport,Cargo,[58][10]
Vietnam,Ho Chi Minh City,Tan Son Nhat International Airport,Cargo,[59][2]
Yemen,Sana'a,Sana'a International Airport,Terminated,[2]
