Country,City,Airport,Notes,Refs
Algeria,Algiers,Houari Boumediene Airport,Passenger,[1]
Angola,Luanda,Quatro de Fevereiro Airport,Begins 14 October 2020,[5][6][7]
Argentina,Buenos Aires,Ministro Pistarini International Airport,Passenger + Cargo,[1]
Armenia,Yerevan,Zvartnots International Airport,Passenger,[8]
Australia,Adelaide,Adelaide Airport,Passenger,[9]
Australia,Brisbane,Brisbane Airport,Passenger,[1]
Australia,Canberra,Canberra International Airport,Passenger,[1]
Australia,Melbourne,Melbourne Airport,Passenger,[1]
Australia,Perth,Perth Airport,Passenger,[1]
Australia,Sydney,Sydney Airport,Passenger,[1]
Austria,Vienna,Vienna International Airport,Passenger,[1]
Azerbaijan,Baku,Heydar Aliyev International Airport,Passenger,[1]
Bahrain,Manama,Bahrain International Airport,Suspended,[1]
Bangladesh,Dhaka,Shahjalal International Airport,Passenger + Cargo,[1][2]
Belgium,Brussels,Brussels Airport,Passenger + Cargo,[10]
Belgium,Liège,Liège Airport,Cargo,[11]
Bosnia and Herzegovina,Sarajevo,Sarajevo International Airport,Passenger,[12][13]
Botswana,Gaborone,Sir Seretse Khama International Airport,Passenger,[14]
Brazil,São Paulo,São Paulo–Guarulhos International Airport,Passenger + Cargo,[1]
Bulgaria,Sofia,Sofia Airport,Passenger,[1]
Cambodia,Phnom Penh,Phnom Penh International Airport,Passenger + Cargo,[15]
Canada,Halifax,Halifax Stanfield International Airport,Cargo,[16]
Canada,Montreal,Montréal–Pierre Elliott Trudeau International Airport,Passenger,[17]
Canada,Toronto,Toronto Pearson International Airport,Passenger,[18]
ChinaExcluding Hong Kong and Macau,Beijing,Beijing Capital International Airport Passenger,Suspended,[1]
ChinaExcluding Hong Kong and Macau,Chengdu,Chengdu Shuangliu International Airport Passenger,Suspended,[19]
ChinaExcluding Hong Kong and Macau,Chongqing,Chongqing Jiangbei International Airport Passenger,Suspended,[20]
ChinaExcluding Hong Kong and Macau,Guangzhou,Guangzhou Baiyun International Airport Passenger & Cargo,Suspended,[1]
ChinaExcluding Hong Kong and Macau,Hangzhou,Hangzhou Xiaoshan International Airport Passenger,Suspended,[21]
ChinaExcluding Hong Kong and Macau,Shanghai,Shanghai Pudong International Airport Passenger & Cargo,Suspended,[10][22]
Croatia,Dubrovnik,Dubrovnik Airport,Passenger,[23]
Croatia,Zagreb,Zagreb Airport,Passenger + Cargo,[1]
Cyprus,Larnaca,Larnaca International Airport,Passenger,[1]
Czech Republic,Prague,Václav Havel Airport Prague,Passenger + Cargo,[24][25]
Denmark,Copenhagen,Copenhagen Airport,Passenger,[1]
Djibouti,Djibouti City,Djibouti–Ambouli International Airport,Passenger,[26]
Ecuador,Quito,Mariscal Sucre International Airport,Cargo,[24]
Egypt,Alexandria,Borg El Arab Airport,Suspended,[1]
Egypt,Cairo,Cairo International Airport,Suspended,[1][2]
Egypt,Luxor,Luxor International Airport,Suspended,[1]
Eritrea,Asmara,Asmara International Airport,Terminated,[27]
Ethiopia,Addis Ababa,Addis Ababa Bole International Airport,Passenger,[28]
Finland,Helsinki,Helsinki Airport,Passenger + Cargo,[29]
France,Lyon,Lyon–Saint-Exupéry Airport,Passenger,[7]
France,Nice,Nice Côte d'Azur Airport,Passenger,[30]
France,Paris,Charles de Gaulle Airport,Passenger + Cargo,[1]
Georgia,Tbilisi,Tbilisi International Airport,Passenger,[31]
Germany,Berlin,Berlin Tegel Airport,Passenger,[1]
Germany,Frankfurt,Frankfurt Airport,Passenger + Cargo,[1][2]
Germany,Hahn,Frankfurt–Hahn Airport Cargo,Terminated,[1]
Germany,Munich,Munich Airport,Passenger,[1]
Germany,Stuttgart,Stuttgart Airport,Terminated,[32]
Ghana,Accra,Kotoka International Airport,Passenger + Cargo,[1][12][7]
Greece,Athens,Athens International Airport,Passenger,[1]
Greece,Mykonos,Mykonos International Airport,Seasonal,[33]
Greece,Santorini,Santorini (Thira) International Airport,Passenger,[23]
Greece,Thessaloniki,Thessaloniki International Airport,Passenger,[1]
Hong Kong SAR,Hong Kong,Hong Kong International Airport,Passenger + Cargo,[1]
Hungary,Budapest,Budapest Ferenc Liszt International Airport,Passenger,[1][2]
India,Ahmedabad,Sardar Vallabhbhai Patel International Airport,Passenger + Cargo,[1]
India,Amritsar,Sri Guru Ram Dass Jee International Airport,Passenger,[1]
India,Bengaluru,Kempegowda International Airport,Passenger + Cargo,[1]
India,Chennai,Chennai International Airport,Passenger + Cargo,[1][2]
India,Delhi,Indira Gandhi International Airport,Passenger + Cargo,[1][2]
India,Goa,Goa International Airport,Passenger,[1]
India,Hyderabad,Rajiv Gandhi International Airport,Passenger + Cargo,[1]
India,Kochi,Cochin International Airport,Passenger + Cargo,[1]
India,Kolkata,Netaji Subhash Chandra Bose International Airport,Passenger + Cargo,[1][2]
India,Kozhikode,Calicut International Airport,Passenger,[1]
India,Mumbai,Chhatrapati Shivaji Maharaj International Airport,Passenger + Cargo,[1]
India,Nagpur,Dr. Babasaheb Ambedkar International Airport,Passenger,[34]
India,Thiruvananthapuram,Trivandrum International Airport,Passenger,[1]
Indonesia,Denpasar,Ngurah Rai International Airport,Passenger,[1]
Indonesia,Jakarta,Soekarno–Hatta International Airport,Passenger + Cargo,[1][35]
Iran,Mashhad,Mashhad International Airport,Passenger,[1]
Iran,Isfahan,Isfahan International Airport,Passenger,[1]
Iran,Shiraz,Shiraz International Airport,Passenger,[1]
Iran,Tehran,Tehran Imam Khomeini International Airport,Passenger + Cargo,[1]
Iraq,Basra,Basra International Airport,Passenger,[36]
Iraq,Baghdad,Baghdad International Airport,Passenger,[37]
Iraq,Erbil,Erbil International Airport,Passenger + Cargo,[1]
Iraq,Najaf,Al Najaf International Airport,Passenger,[38]
