Country,City,Airport,Notes,Refs
Argentina,Buenos Aires,Ministro Pistarini International Airport,Terminated,[5]
Australia (Australian Capital Territory),Canberra,Canberra International Airport,,[6][7]
Australia (Cocos (Keeling) Islands),Cocos Islands,Cocos Islands Airport,Terminated,[8]
Australia (New South Wales),Albury,Albury Airport,,[6][7]
Australia (New South Wales),Armidale,Armidale Airport,,[6][7]
Australia (New South Wales),Ballina,Ballina Byron Gateway Airport,Was to begin 29 March 2020; now suspended,[6][9][10]
Australia (New South Wales),Bathurst,Bathurst Airport,Terminated,[11]
Australia (New South Wales),Coffs Harbour,Coffs Harbour Airport,,[6][7]
Australia (New South Wales),Dubbo,Dubbo Airport,,[6][7]
Australia (New South Wales),Lord Howe Island,Lord Howe Island Airport,,[6][7]
Australia (New South Wales),Moree,Moree Airport,,[6][7]
Australia (New South Wales),Narrabri,Narrabri Airport,Terminated,[11]
Australia (New South Wales),Newcastle,Newcastle Airport,,[6][7]
Australia (New South Wales),Orange,Orange Airport,Was to begin 1 May 2020; now suspended,[12][10]
Australia (New South Wales),Port Macquarie,Port Macquarie Airport,,[6][7]
Australia (New South Wales),Sydney,Sydney Airport,Hub,[6][7]
Australia (New South Wales),Tamworth,Tamworth Airport,,[6][7]
Australia (New South Wales),Taree,Taree Airport,Terminated,[11]
Australia (New South Wales),Wagga Wagga,Wagga Wagga Airport,,[6][7]
Australia (New South Wales),Wollongong,Wollongong Airport,Terminated,[13]
Australia (Northern Territory),Alice Springs,Alice Springs Airport,,[6][7]
Australia (Northern Territory),Ayers Rock,Ayers Rock Airport,,[6][7]
Australia (Northern Territory),Darwin,Darwin International Airport,Focus city,[6][7]
Australia (Northern Territory),Gove,Gove Airport,Terminated,[14]
Australia (Queensland),Airlie Beach,Whitsunday Airport,Terminated,[15]
Australia (Queensland),Barcaldine,Barcaldine Airport,,[6][7]
Australia (Queensland),Biloela,Biloela Airport,Terminated,[16]
Australia (Queensland),Blackall,Blackall Airport,,[6][7]
Australia (Queensland),Blackwater,Blackwater Airport,Terminated,[6]
Australia (Queensland),Brisbane,Brisbane Airport,Hub[nb 1],[6][7]
Australia (Queensland),Bundaberg,Bundaberg Airport,,[6][7]
Australia (Queensland),Cairns,Cairns Airport,Focus city,[6][7]
Australia (Queensland),Charleville,Charleville Airport,,[6][7]
Australia (Queensland),Cloncurry,Cloncurry Airport,,[6][7]
Australia (Queensland),Dunk Island,Dunk Island Airport,Terminated,[17]
Australia (Queensland),Emerald,Emerald Airport,,[6][7]
Australia (Queensland),Gladstone,Gladstone Airport,,[6][7]
Australia (Queensland),Gold Coast,Gold Coast Airport,,[6]
Australia (Queensland),Hamilton Island,Great Barrier Reef Airport,,[6][7]
Australia (Queensland),Hayman Island,−,Terminated,[14]
Australia (Queensland),Hervey Bay,Hervey Bay Airport,,[7]
Australia (Queensland),Horn Island,Horn Island Airport,,[6][7]
Australia (Queensland),Longreach,Longreach Airport,,[6][7]
Australia (Queensland),Mackay,Mackay Airport,,[6][7]
Australia (Queensland),Mount Isa,Mount Isa Airport,,[6][7]
Australia (Queensland),Moranbah,Moranbah Airport,,[6][7]
Australia (Queensland),Proserpine,Proserpine / Whitsunday Coast Airport,,[6]
Australia (Queensland),Rockhampton,Rockhampton Airport,,[6][7]
Australia (Queensland),Roma,Roma Airport,,[6][7]
Australia (Queensland),Sunshine Coast,Sunshine Coast Airport,,[6]
Australia (Queensland),Toowoomba,Toowoomba Wellcamp Airport,,[1]
Australia (Queensland),Townsville,Townsville Airport,,[6][7]
Australia (Queensland),Weipa,Weipa Airport,,[6][7]
Australia (Queensland),Winton,Winton Airport,Terminated,[18]
Australia (South Australia),Adelaide,Adelaide Airport,Hub[nb 2],[6][7]
Australia (South Australia),Kangaroo Island,Kingscote Airport,,[19][20]
Australia (South Australia),Port Lincoln,Port Lincoln Airport,,[6]
Australia (South Australia),Olympic Dam,Olympic Dam Airport,,[citation needed]
Australia (South Australia),Whyalla,Whyalla Airport,,[6][7]
Australia (Tasmania),Burnie,Burnie Airport,Terminated,[11]
Australia (Tasmania),Devonport,Devonport Airport,,[6][7]
Australia (Tasmania),Hobart,Hobart International Airport,,[6]
Australia (Tasmania),Launceston,Launceston Airport,,[6][7]
Australia (Victoria),Avalon,Avalon Airport,,[6]
Australia (Victoria),Bendigo,Bendigo Airport,,[21]
